title,Battery Manager Lite ແມ່ນແຕກຕ່າງກັນ
dis_sync_inc,ການປິດໃຊ້ງານການຊິງຄ໌ຈະເພີ່ມອາຍຸແບັດເຕີຣີໂດຍການບໍ່ຊິງຄ໌ການບໍລິການໃນພື້ນຫຼັງ
time_out,ຫມົດ​ເວ​ລາ
dec_extend,ການຫຼຸດລົງເວລາກ່ອນທີ່ຈໍສະແດງຜົນຈະປິດຈະຍືດອາຍຸແບັດເຕີຣີ
u_end_opti,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການສິ້ນສຸດຂະບວນການເພີ່ມປະສິດທິພາບ?
no_why_perm,ບໍ່ມີການອະນຸຍາດ
bright_exp,ຕົວຈັດການແບັດເຕີຣີຕ້ອງການສິດອະນຸຍາດປ່ຽນການຕັ້ງຄ່າລະບົບເພື່ອຫຼຸດຄວາມສະຫວ່າງໜ້າຈໍ ຫຼືປິດ Bluetooth.
tg_title,ເຂົ້າຮ່ວມຊ່ອງ Telegram!
tg_text,ຕິດຕາມການອັບເດດແອັບ, ຮັບການສ້າງໄວ, ແລະຊ່ວຍທົດສອບຄຸນສົມບັດໃໝ່. ແນະນໍາແນວຄວາມຄິດຂອງເຈົ້າ, ຖາມຄໍາຖາມແລະໄດ້ຮັບຄໍາຕອບໄວຂຶ້ນ
join_tg,ເຂົ້າຮ່ວມ
curr_consumption,ການບໍລິໂພກໃນປະຈຸບັນ
scrn_onn,ໜ້າຈໍເປີດ
srcn_off,ປິດໜ້າຈໍ
mob_charg,ກຳລັງສາກໄຟ
discha,ຂັບຖ່າຍ
activea,ເຄື່ອນໄຫວ
slpmode,ໂໝດນອນ
chagingspeed,ຄວາມໄວການສາກໄຟປະຈຸບັນ
dta_proxt,ການປົກປ້ອງຂໍ້ມູນ
governs,ນະ​ໂຍ​ບາຍ​ຄວາມ​ເປັນ​ສ່ວນ​ຕົວ​ນີ້​ຄວບ​ຄຸມ​ການ​ນໍາ​ໃຊ້​ຂອງ​ທ່ານ​ຂອງ​ຄໍາ​ຮ້ອງ​ສະ​ຫມັກ​ຊອບ​ແວ​ຕົວ​ຈັດ​ການ​ຫມໍ້​ໄຟ​ສໍາ​ລັບ​ອຸ​ປະ​ກອນ​ມື​ຖື​ທີ່​ສ້າງ​ໂດຍ Baxolino​.
info_u_provide,ຂໍ້ມູນຂ່າວສານສະຫນອງໃຫ້ໂດຍຜູ້ໃຊ້
no_pass_per,ພວກເຮົາບໍ່ໄດ້ຖ່າຍທອດຂໍ້ມູນສ່ວນຕົວໃຫ້ກັບບຸກຄົນທີສາມ. ເມື່ອທ່ານສົ່ງອີເມວຫາພວກເຮົາ, ພວກເຮົາມີທີ່ຢູ່ອີເມວຂອງທ່ານ, ແຕ່ພວກເຮົາພຽງແຕ່ໃຊ້ມັນເພື່ອຊ່ວຍທ່ານກ່ຽວກັບແອັບຯຂອງພວກເຮົາ.
info_auto_coll,ເກັບກໍາຂໍ້ມູນອັດຕະໂນມັດ
exp_admob_use,ພວກເຮົາໃຊ້ Google Admob ເພື່ອໃຫ້ບໍລິການໂຄສະນາ. ການນໍາໃຊ້ການບໍລິການເຫຼົ່ານີ້ແມ່ນຂຶ້ນກັບຂໍ້ກໍານົດການປົກປ້ອງຂໍ້ມູນຂອງ Google ທີ່ https://www.google.com/policies/privacy/.
we_real_time,ຕົວຈັດການແບດເຕີຣີເກັບກໍາຂໍ້ມູນສະຖານທີ່ທີ່ຖືກຕ້ອງຕາມເວລາຈິງຈາກອຸປະກອນບໍ?
exp_loc_perm_man,Battery Manger ພຽງແຕ່ກວດເບິ່ງວ່າສະຖານທີ່ຖືກເປີດໃຊ້ງານຫຼືປິດໃຊ້ງານ, ແຕ່ບໍ່ໄດ້ເກັບກໍາຂໍ້ມູນທີ່ແນ່ນອນກ່ຽວກັບສະຖານທີ່ຂອງອຸປະກອນມືຖືຂອງທ່ານ. ຟັງຊັນທີ່ອີງໃສ່ສະຖານທີ່ດັ່ງກ່າວຖືກກໍານົດໂດຍຄ່າເລີ່ມຕົ້ນ. ທ່ານ​ສາ​ມາດ deactivate ຫຼື reactivate ຟັງ​ຊັນ​ເຫຼົ່າ​ນີ້​ໃນ​ການ​ຕັ້ງ​ຄ່າ​ຂອງ​ອຸ​ປະ​ກອນ​ຂອງ​ທ່ານ​. ກ່ອນ ຫຼື ຫຼັງຈາກການຕິດຕັ້ງແອັບຯ, ທ່ານຈະຖືກຖາມ - ຂຶ້ນກັບອຸປະກອນ - ບໍ່ວ່າທ່ານຈະຕ້ອງການປິດໃຊ້ງານ ຫຼືເປີດໃຊ້ງານເຫຼົ່ານີ້ຫຼືບໍ່. ພວກ​ເຮົາ​ສາ​ມາດ​ເກັບ​ກໍາ​ຂໍ້​ມູນ​ກ່ຽວ​ກັບ​ສະ​ຖານ​ທີ່​ຂອງ​ທ່ານ​ພຽງ​ແຕ່​ຖ້າ​ຫາກ​ວ່າ​ທ່ານ​ເປີດ​ບໍ​ລິ​ການ​ສະ​ຖານ​ທີ່​ດັ່ງ​ກ່າວ​.
chng,ການປ່ຽນແປງ
pri_update_exp,ນະ​ໂຍ​ບາຍ​ຄວາມ​ເປັນ​ສ່ວນ​ຕົວ​ນີ້​ອາດ​ຈະ​ໄດ້​ຮັບ​ການ​ປັບ​ປຸງ​ເປັນ​ບາງ​ຄັ້ງ​ຄາວ​ສໍາ​ລັບ​ເຫດ​ຜົນ​ໃດໆ​. ພວກເຮົາຈະແຈ້ງໃຫ້ທ່ານຮູ້ກ່ຽວກັບການປ່ຽນແປງນະໂຍບາຍຄວາມເປັນສ່ວນຕົວຂອງພວກເຮົາໂດຍການປະກາດນະໂຍບາຍຄວາມເປັນສ່ວນຕົວໃຫມ່ໃນທີ່ຢູ່ເວັບນີ້ແລະແຈ້ງໃຫ້ທ່ານຮູ້ໂດຍຜ່ານຂໍ້ຄວາມໃນ app. ຂໍແນະນໍາໃຫ້ທ່ານປຶກສານະໂຍບາຍຄວາມເປັນສ່ວນຕົວນີ້ຢ່າງເປັນປົກກະຕິສໍາລັບການປ່ຽນແປງ, ເນື່ອງຈາກວ່າການນໍາໃຊ້ຢ່າງຕໍ່ເນື່ອງແມ່ນພິຈາລະນາການອະນຸມັດການປ່ຽນແປງທັງຫມົດ. ທ່ານສາມາດທົບທວນປະຫວັດຂອງນະໂຍບາຍນີ້ຢູ່ໃນເວັບໄຊທ໌ນີ້.
contct,ຕິດຕໍ່
any_que,ຖ້າ​ຫາກ​ທ່ານ​ມີ​ຄໍາ​ຖາມ​ໃດໆ​ກ່ຽວ​ກັບ​ການ​ປົກ​ປັກ​ຮັກ​ສາ​ຂໍ້​ມູນ​ໃນ​ຂະ​ນະ​ທີ່​ການ​ນໍາ​ໃຊ້​ຄໍາ​ຮ້ອງ​ສະ​ຫມັກ​ຫຼື​ມີ​ຄໍາ​ຖາມ​ກ່ຽວ​ກັບ​ການ​ປະ​ຕິ​ບັດ​ຂອງ​ພວກ​ເຮົາ​, ກະ​ລຸ​ນາ​ສົ່ງ​ອີ​ເມວ​ຫາ baxolino.de@gmail.com
mem_opti,ຕົວຈັດການແບດເຕີຣີຕ້ອງການການເຂົ້າເຖິງ "ຫນ່ວຍຄວາມຈໍາ" ເພື່ອໃຫ້ແອັບຯສາມາດສະແກນແລະເພີ່ມປະສິດທິພາບໄດ້. ທ່ານ​ສາ​ມາດ​ປິດ​ການ​ທໍາ​ງານ​ຫຼື​ທໍາ​ງານ​ເຫຼົ່າ​ນີ້​ໃນ​ການ​ຕັ້ງ​ຄ່າ​ຂອງ​ອຸ​ປະ​ກອນ​ຂອງ​ທ່ານ​. ກ່ອນ ຫຼື ຫຼັງຈາກການຕິດຕັ້ງແອັບຯ, ທ່ານຈະຖືກຖາມ - ຂຶ້ນກັບອຸປະກອນ - ບໍ່ວ່າທ່ານຈະຕ້ອງການປິດໃຊ້ງານ ຫຼືເປີດໃຊ້ງານເຫຼົ່ານີ້ຫຼືບໍ່.
storg,ການເກັບຮັກສາ
ble_set_acc,blue_set_perm,Battery Manager ຕ້ອງການການເຂົ້າເຖິງ "ການເຂົ້າເຖິງການຕັ້ງຄ່າ Bluetooth" ເພື່ອໃຫ້ມັນສາມາດກວດສອບໄດ້ວ່າ Bluetooth ຖືກເປີດໃຊ້ງານ ຫຼືປິດໃຊ້ງານຫຼືບໍ່. ແລະເພື່ອເປີດໃຊ້ ຫຼືປິດ Bluetooth.
ble_title,Bluetooth
needz_del,ຕົວຈັດການແບດເຕີຣີຕ້ອງການການເຂົ້າເຖິງ "ຮ້ອງຂໍການລຶບແພັກເກັດ" ເພື່ອເລີ່ມຕົ້ນການຖອນການຕິດຕັ້ງແອັບຯ. ແອັບຯດັ່ງກ່າວຈະຖືກຖອນການຕິດຕັ້ງພຽງແຕ່ຖ້າທ່ານອະນຸຍາດໃຫ້ມັນຢ່າງຊັດເຈນ.
deletion_pkg,ຮ້ອງຂໍການລຶບແພັກເກດ
need_adnd,ຕົວຈັດການແບັດເຕີຣີຕ້ອງການການເຂົ້າເຖິງ "ຫ້າມລົບກວນ" ເພື່ອເປີດໃຊ້ ຫຼືປິດໂໝດຫ້າມລົບກວນ.
adnd,ເຂົ້າເຖິງຫ້າມລົບກວນ
need_wlan_acc,ຕົວຈັດການແບດເຕີຣີຕ້ອງການການເຂົ້າເຖິງ "Get WLAN Connections" ເພື່ອໃຫ້ຕົວຈັດການແບດເຕີຣີສາມາດກວດເບິ່ງວ່າ WLAN ຖືກເປີດໃຊ້ຫຼືປິດໃຊ້ງານ. ແລະເພື່ອເປີດໃຊ້ຫຼືປິດ WLAN.
wln_conn,ຮັບການເຊື່ອມຕໍ່ WLAN
shop_bill_exp,ໃນເວລາທີ່ທ່ານຊື້ຜ່ານ Google Play ໃນ App Billing, Google ໃຫ້ພວກເຮົາປະເທດທີ່ຢູ່ອາໃສຂອງທ່ານແລະບາງຄັ້ງລັດ, ເມືອງ, ແລະລະຫັດໄປສະນີ, ແຕ່ບໍ່ມີທີ່ຢູ່ເຕັມ. ພວກເຮົາໃຊ້ຂໍ້ມູນນີ້ເພື່ອປະຕິບັດຕາມລະບຽບການພາສີ ແລະບັນຊີ.
pri_date,ມາຮອດວັນທີ 21/02/2021
how_to_stop,ທ່ານສາມາດຢຸດການລວບລວມຂໍ້ມູນທັງຫມົດໂດຍແອັບພລິເຄຊັນງ່າຍໆໂດຍການຖອນການຕິດຕັ້ງແອັບພລິເຄຊັນ. ທ່ານ​ສາ​ມາດ​ນໍາ​ໃຊ້​ຂະ​ບວນ​ການ​ຖອນ​ການ​ຕິດ​ຕັ້ງ​ມາດ​ຕະ​ຖານ​ທີ່​ມີ​ຢູ່​ເປັນ​ສ່ວນ​ຫນຶ່ງ​ຂອງ​ອຸ​ປະ​ກອນ​ມື​ຖື​ຂອງ​ທ່ານ​ຫຼື​ໂດຍ​ຜ່ານ​ການ​ຕະ​ຫຼາດ​ຫຼື​ເຄືອ​ຂ່າຍ​ສໍາ​ລັບ​ຄໍາ​ຮ້ອງ​ສະ​ຫມັກ​ມື​ຖື​.
opt_out,ສິດທິໃນການຖອນຕົວຂອງຂ້ອຍແມ່ນຫຍັງ?
ur_permission,ການ​ອະ​ນຸ​ຍາດ​ຂອງ​ທ່ານ​
accept_privacy,ໂດຍການນຳໃຊ້ແອັບພລິເຄຊັນ, ທ່ານຍິນຍອມໃຫ້ການປະມວນຜົນຂໍ້ມູນຂອງທ່ານຕາມທີ່ໄດ້ກຳນົດໄວ້ໃນນະໂຍບາຍຄວາມເປັນສ່ວນຕົວນີ້ ແລະ ຕາມການດັດແກ້ໂດຍພວກເຮົາ.
