title,ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಲೈಟ್ ವಿಭಿನ್ನವಾಗಿದೆ
with_curr_pow,ಪ್ರಸ್ತುತ ವಿದ್ಯುತ್ ಬಳಕೆಯೊಂದಿಗೆ
rem_bat_life,ಉಳಿದ ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ
qck_acc,ತ್ವರಿತ ಪ್ರವೇಶ
notif_txt,ಅಧಿಸೂಚನೆ
notif_at,ನಲ್ಲಿ ಸೂಚಿಸಿ
chg_curr,ಚಾರ್ಜಿಂಗ್ ಕರೆಂಟ್
charge_perm,ಚಾರ್ಜಿಂಗ್ ಕಾರ್ಯಕ್ಷಮತೆ
maxi_charge_per,ಗರಿಷ್ಠ ಚಾರ್ಜಿಂಗ್ ಕಾರ್ಯಕ್ಷಮತೆ
enb_notif,ಅಧಿಸೂಚನೆಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ
perm_send_notif,ಅಧಿಸೂಚನೆಯನ್ನು ಕಳುಹಿಸಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕಕ್ಕೆ ಅನುಮತಿಯ ಅಗತ್ಯವಿದೆ, ಅದನ್ನು ಸಾಧನದ ಸೆಟ್ಟಿಂಗ್‌ಗಳಲ್ಲಿ ಸಕ್ರಿಯಗೊಳಿಸಬೇಕು.
to_set,ಸೆಟ್ಟಿಂಗ್‌ಗಳಿಗೆ
title_autost,ಸ್ವಯಂಪ್ರಾರಂಭವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ
auto_explain,ಬ್ಯಾಟರಿ ಸ್ಥಿತಿಯನ್ನು ಪ್ರಶ್ನಿಸಲು ಮತ್ತು ಅಧಿಸೂಚನೆಯನ್ನು ಕಳುಹಿಸಲು ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಸಕ್ರಿಯವಾಗಿರಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕರಿಗೆ ಅನುಮತಿಯ ಅಗತ್ಯವಿದೆ.
sync_auto,ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಸಿಂಕ್ರೊನೈಸ್ ಮಾಡಿ
dis_auto_sync,ಸ್ವಯಂಚಾಲಿತ ಸಿಂಕ್ರೊನೈಸೇಶನ್ ಅನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುವುದರಿಂದ ವೇಕ್‌ಲಾಕ್‌ಗಳನ್ನು ಗಮನಾರ್ಹವಾಗಿ ಕಡಿಮೆ ಮಾಡುತ್ತದೆ. ಆದಾಗ್ಯೂ, ಇಮೇಲ್ ಸ್ವೀಕರಿಸುವಂತಹ ಕೆಲವು ಕಾರ್ಯಗಳು ಕಳೆದುಹೋಗುತ್ತವೆ.
chg_lim,ಶುಲ್ಕ ಮಿತಿ
avoid_ful_explain,ನಿಮ್ಮ ಬ್ಯಾಟರಿಯನ್ನು ನೀವು ಗರಿಷ್ಠವಾಗಿ ಚಾರ್ಜ್ ಮಾಡಿದರೆ ಅಥವಾ ಅದನ್ನು ಸ್ವಿಚ್ ಆಫ್ ಆಗುವವರೆಗೆ ಡಿಸ್ಚಾರ್ಜ್ ಮಾಡಿದರೆ, ಬ್ಯಾಟರಿಯ ಸ್ಥಿತಿ ಮತ್ತು ಸೇವಾ ಜೀವನವು ಕಡಿಮೆಯಾಗುತ್ತದೆ. ಕೆಳಗಿನವುಗಳಲ್ಲಿ ನೀವು ಬ್ಯಾಟರಿಯ ಕನಿಷ್ಠ ಮತ್ತು ಗರಿಷ್ಠ ಚಾರ್ಜ್ ಅಥವಾ ಡಿಸ್ಚಾರ್ಜ್ ಸ್ಥಿತಿಯನ್ನು ಹೊಂದಿಸಬಹುದು ಮತ್ತು ಪ್ರತಿ ಬಾರಿ ಮಿತಿ ಮೌಲ್ಯವನ್ನು ತಲುಪಿದಾಗ ನಿಮಗೆ ಸೂಚಿಸಲಾಗುತ್ತದೆ. ಒಂದನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಚಾರ್ಜ್ ಮಾಡುವುದನ್ನು ತಪ್ಪಿಸಿ ಮತ್ತು ನಿಮ್ಮ ಬ್ಯಾಟರಿಯನ್ನು ಡಿಸ್ಚಾರ್ಜ್ ಮಾಡಿ ಮತ್ತು ಬ್ಯಾಟರಿಯ ಜೀವಿತಾವಧಿಯನ್ನು ವಿಸ್ತರಿಸಿ.
rec_notif,ಅಧಿಸೂಚನೆಯನ್ನು ಸ್ವೀಕರಿಸಿಲ್ಲವೇ?
title_allow_bg_act,ಹಿನ್ನೆಲೆ ಚಟುವಟಿಕೆಯನ್ನು ಅನುಮತಿಸಿ
allow_bg_act,ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಮ್‌ನಿಂದ ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ ಮುಚ್ಚದೆಯೇ ನೀವು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕವನ್ನು ನಿರ್ಬಂಧಗಳಿಲ್ಲದೆ ಬಳಸಲು ಸಾಧ್ಯವಾಗುವಂತೆ, ನೀವು ಸೆಟ್ಟಿಂಗ್‌ಗಳಲ್ಲಿ ಬ್ಯಾಟರಿ ನಿರ್ವಹಣೆ ಮತ್ತು ಬ್ಯಾಟರಿ ಬಳಕೆಗಾಗಿ ವಿಶೇಷ ಕಾರ್ಯಗಳನ್ನು ಸ್ವಿಚ್ ಆಫ್ ಮಾಡಬೇಕಾಗಬಹುದು. ಏಕೆಂದರೆ ವಿವಿಧ ತಯಾರಕರು ಬಳಸಿದ ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಮ್ ಅನ್ನು ಅವಲಂಬಿಸಿ ಈ ಆಯ್ಕೆಗಳ ಪದನಾಮದಲ್ಲಿ ಭಿನ್ನವಾಗಿರುತ್ತವೆ. ಅಪ್ಲಿಕೇಶನ್ ಮಾಹಿತಿ ಪ್ರದೇಶದಲ್ಲಿ, ಸ್ಲೀಪ್ ಅಥವಾ ಬ್ಯಾಟರಿ ಅಡಿಯಲ್ಲಿ, ಯಾವುದೇ ನಿರ್ಬಂಧಗಳಿಲ್ಲ ಅಥವಾ ಹಿನ್ನೆಲೆ ಚಟುವಟಿಕೆಯನ್ನು ಅನುಮತಿಸಿ ಆಯ್ಕೆಮಾಡಿ.
dev_usage,ಸಾಧನದ ಬಳಕೆ
dep_sleep,ಆಳವಾದ ನಿದ್ರೆಯು ನಿಮ್ಮ ಸಾಧನವು ಕಡಿಮೆ ಪ್ರಮಾಣದ ಬ್ಯಾಟರಿಯನ್ನು ಬಳಸುವ ಸ್ಥಿತಿಯಾಗಿದೆ. ಆಳವಾದ ನಿದ್ರೆಯ ಅವಧಿಯು ಶಕ್ತಿಯ ಉಳಿತಾಯದ ಮೇಲೆ ಸಕಾರಾತ್ಮಕ ಪರಿಣಾಮವನ್ನು ಬೀರುತ್ತದೆ. ಹಿನ್ನೆಲೆ ಕಾರ್ಯಗಳಿಂದ ಆಳವಾದ ನಿದ್ರೆಯನ್ನು ಅಡ್ಡಿಪಡಿಸಬಹುದು, ಇದು ಬ್ಯಾಟರಿಯನ್ನು ವೇಗವಾಗಿ ಡಿಸ್ಚಾರ್ಜ್ ಮಾಡಲು ಕಾರಣವಾಗುತ್ತದೆ. ಈ ಸಂದರ್ಭದಲ್ಲಿ, ನಿಮ್ಮ ಸಾಧನವನ್ನು ಮರುಪ್ರಾರಂಭಿಸಿ.
title_bat_temp,ಬ್ಯಾಟರಿ ತಾಪಮಾನ
bat_tempp,ಬ್ಯಾಟರಿ ತಾಪಮಾನವು ಪ್ರಮುಖ ಅಂಶಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ. ಬ್ಯಾಟರಿಯು ಹೆಚ್ಚಿನ ತಾಪಮಾನದಲ್ಲಿ ಜೆಲ್ ಅನ್ನು ಇರಿಸಿದರೆ, ಇದು ಸೇವೆಯ ಜೀವನ ಮತ್ತು ಬ್ಯಾಟರಿಯ ಕಾರ್ಯಕ್ಷಮತೆಯ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ. ತಾಪಮಾನ ಹೆಚ್ಚಾದರೆ, ಬ್ಯಾಟರಿಯ ಆಂತರಿಕ ರಚನೆಯು ಹಾನಿಗೊಳಗಾಗಬಹುದು.
rdc_brightness,ಪರದೆಯ ಹೊಳಪನ್ನು ಕಡಿಮೆ ಮಾಡಿ
display_explain,ಪ್ರದರ್ಶನವು ಹೆಚ್ಚಿನ ಶಕ್ತಿಯನ್ನು ಸೇವಿಸುವ ಘಟಕಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ. ಗರಿಷ್ಠ ಹೊಳಪನ್ನು ಕಡಿಮೆ ಮಾಡುವುದರಿಂದ ಒಟ್ಟಾರೆ ಬಳಕೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಮತ್ತು ಗಮನಾರ್ಹ ಉಳಿತಾಯವನ್ನು ಸಾಧಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ. ಹೊಳಪನ್ನು ಕಡಿಮೆ ಮಾಡುವ ಮೊದಲು, ಸ್ವಯಂಚಾಲಿತ ಹೊಳಪನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ ಇದರಿಂದ ಹೊಳಪು ಅನಗತ್ಯವಾಗಿ ಬದಲಾಗುವುದಿಲ್ಲ.
tst_charge,ಪರೀಕ್ಷಾ ಚಾರ್ಜರ್
best_way_test,ಚಾರ್ಜರ್ ಮತ್ತು ಕೇಬಲ್ ಅನ್ನು ಪರೀಕ್ಷಿಸಲು ಉತ್ತಮ ಮಾರ್ಗವೆಂದರೆ ಸ್ಕ್ರೀನ್ ಆಫ್ ಆಗಿರುವಾಗ ಚಾರ್ಜಿಂಗ್ ವೇಗವನ್ನು ಪರಿಶೀಲಿಸುವುದು. ಪರದೆಯು ಆನ್ ಆಗಿರುವಾಗ ಚಾರ್ಜಿಂಗ್ ವೇಗವು ಉತ್ತಮ ಮಾನದಂಡವಲ್ಲ ಏಕೆಂದರೆ ನಿಮ್ಮ ಫೋನ್ ವಿದ್ಯುತ್ ಅನ್ನು ಬಳಸುತ್ತದೆ, ಇದು ಏರಿಳಿತಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ. ಚಾರ್ಜರ್ ಅನ್ನು ಪ್ಲಗ್ ಮಾಡಿ, ಕೆಲವು ನಿಮಿಷಗಳ ಕಾಲ ಪರದೆಯನ್ನು ಆಫ್ ಮಾಡಿ, ತದನಂತರ ಗರಿಷ್ಠ ಚಾರ್ಜ್ ಕರೆಂಟ್ ಅನ್ನು ಪರಿಶೀಲಿಸಿ.
wait_title,ಕಾಯುತ್ತಿದೆ
rfsh_rate,ರಿಫ್ರೆಶ್ ದರ
low_sizty,ರಿಫ್ರೆಶ್ ದರವನ್ನು 60 Hz ಗೆ ಇಳಿಸುವುದರಿಂದ ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ ಸುಧಾರಿಸುತ್ತದೆ.
drk_mode,ಡಾರ್ಕ್ ಮೋಡ್
acti_dark_mode,ಡಾರ್ಕ್ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ, ಡಾರ್ಕ್ ಮೋಡ್‌ನಲ್ಲಿ ಕಡಿಮೆ ವಿದ್ಯುತ್ ಬಳಕೆಯಾಗುತ್ತದೆ
actz,ಸಕ್ರಿಯಗೊಳಿಸಿ
poz,ಶಕ್ತಿ
minz,ಕನಿಷ್ಠ
avgo,ಸರಾಸರಿ
mixi1,ಗರಿಷ್ಠ
msg_dis,ರೇಖಾಚಿತ್ರವನ್ನು ಪೂರ್ಣವಾಗಿ ಪ್ರದರ್ಶಿಸಲು ಸಾಕಷ್ಟು ಡೇಟಾ ಇದ್ದರೆ ಸಂದೇಶವು 24 ಗಂಟೆಗಳ ನಂತರ ಕಣ್ಮರೆಯಾಗುತ್ತದೆ.
no_enough,ಪ್ರದರ್ಶಿಸಲು ಸಾಕಷ್ಟು ಡೇಟಾ ಇಲ್ಲ
log_graph,ಕೆಲವು ಗಂಟೆಗಳಲ್ಲಿ ನೀವು ಇಲ್ಲಿ ಗ್ರಾಫ್ ಅನ್ನು ನೋಡುತ್ತೀರಿ ಅದು ಕಳೆದ 24 ಗಂಟೆಗಳಲ್ಲಿ ಬ್ಯಾಟರಿ ತಾಪಮಾನ, ವೋಲ್ಟೇಜ್, ಆಂಪೇಜ್ ಮತ್ತು ಮಟ್ಟವನ್ನು ಪರಿಶೀಲಿಸಲು ನಿಮಗೆ ಅನುಮತಿಸುತ್ತದೆ.
week,ವಾರ
buy_it,ಖರೀದಿಸಿ
one_pur,ಒಂದು ಬಾರಿ ಶುಲ್ಕ
refun_pur,ಖರೀದಿಯನ್ನು 2 ಗಂಟೆಗಳ ಒಳಗೆ ಮರುಪಾವತಿ ಮಾಡಬಹುದು.
each_month,ಚಂದಾದಾರಿಕೆಯು ಪ್ರತಿ ತಿಂಗಳು ಸ್ವಯಂ-ನವೀಕರಣಗೊಳ್ಳುತ್ತದೆ ಮತ್ತು ತಿಂಗಳಿಗೆ ವೆಚ್ಚವನ್ನು ಮುಂದುವರಿಸುತ್ತದೆ. ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಚಂದಾದಾರಿಕೆಯನ್ನು ರದ್ದುಗೊಳಿಸಬಹುದು.
mng_subs,ಚಂದಾದಾರಿಕೆಯನ್ನು ನಿರ್ವಹಿಸಿ
subsci,ಚಂದಾದಾರರಾಗಿ
will_cost_week,ಚಂದಾದಾರಿಕೆಯು ಪ್ರತಿ ವಾರ ಸ್ವಯಂ-ನವೀಕರಣಗೊಳ್ಳುತ್ತದೆ ಮತ್ತು ಪ್ರತಿ ವಾರದ ವೆಚ್ಚವನ್ನು ಮುಂದುವರಿಸುತ್ತದೆ. ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಚಂದಾದಾರಿಕೆಯನ್ನು ರದ್ದುಗೊಳಿಸಬಹುದು.
lfllong,ಜೀವಮಾನವಿಡೀ
mthly,ಮಾಸಿಕ
wkly,ಸಾಪ್ತಾಹಿಕ
hoto,ಬಿಸಿ
prm_ben_title,ಪ್ರೀಮಿಯಂ ಪ್ರಯೋಜನಗಳು
sync_title,ಸಿಂಕ್ರೊನೈಸ್ ಮಾಡಿ
dis_sync_inc,ಸಿಂಕ್ ಅನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುವುದರಿಂದ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಸೇವೆಗಳನ್ನು ಸಿಂಕ್ ಮಾಡದೆ ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ ಹೆಚ್ಚಾಗುತ್ತದೆ
time_out,ಸಮಯ ಮೀರಿದೆ
dec_extend,ಡಿಸ್‌ಪ್ಲೇ ಆಫ್ ಆಗುವ ಮೊದಲು ಸಮಯವನ್ನು ಕಡಿಮೆ ಮಾಡುವುದರಿಂದ ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ ಹೆಚ್ಚಾಗುತ್ತದೆ
u_end_opti,ಆಪ್ಟಿಮೈಸೇಶನ್ ಪ್ರಕ್ರಿಯೆಯನ್ನು ಕೊನೆಗೊಳಿಸಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?
no_why_perm,ಅನುಮತಿ ಇಲ್ಲ
bright_exp,ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್‌ಗೆ ಪರದೆಯ ಹೊಳಪನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಅಥವಾ ಬ್ಲೂಟೂತ್ ಆಫ್ ಮಾಡಲು ಸಿಸ್ಟಮ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಬದಲಾಯಿಸಲು ಅನುಮತಿಯ ಅಗತ್ಯವಿದೆ.
tg_title,ಟೆಲಿಗ್ರಾಮ್ ಚಾನಲ್‌ಗೆ ಸೇರಿ!
tg_text,ಅಪ್ಲಿಕೇಶನ್ ನವೀಕರಣಗಳೊಂದಿಗೆ ಪ್ರಸ್ತುತವಾಗಿರಿ, ಆರಂಭಿಕ ನಿರ್ಮಾಣಗಳನ್ನು ಪಡೆಯಿರಿ ಮತ್ತು ಹೊಸ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಪರೀಕ್ಷಿಸಲು ಸಹಾಯ ಮಾಡಿ. ನಿಮ್ಮ ಆಲೋಚನೆಗಳನ್ನು ಸೂಚಿಸಿ, ಪ್ರಶ್ನೆಗಳನ್ನು ಕೇಳಿ ಮತ್ತು ಉತ್ತರಗಳನ್ನು ವೇಗವಾಗಿ ಪಡೆಯಿರಿ
join_tg,ಸೇರಿಕೊಳ್ಳಿ
curr_consumption,ಪ್ರಸ್ತುತ ಬಳಕೆ
scrn_onn,ಪರದೆಯ ಮೇಲೆ
srcn_off,ಸ್ಕ್ರೀನ್ ಆಫ್
mob_charg,ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ
discha,ಡಿಸ್ಚಾರ್ಜ್ ಮಾಡಲಾಗುತ್ತಿದೆ
activea,ಸಕ್ರಿಯ
slpmode,ಸ್ಲೀಪ್ ಮೋಡ್
chagingspeed,ಪ್ರಸ್ತುತ ಚಾರ್ಜಿಂಗ್ ವೇಗ
dta_proxt,ಡೇಟಾ ರಕ್ಷಣೆ
governs,ಈ ಗೌಪ್ಯತೆ ನೀತಿಯು Baxolino ನಿಂದ ರಚಿಸಲಾದ ಮೊಬೈಲ್ ಸಾಧನಗಳಿಗಾಗಿ ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕ ಸಾಫ್ಟ್‌ವೇರ್ ಅಪ್ಲಿಕೇಶನ್‌ನ ನಿಮ್ಮ ಬಳಕೆಯನ್ನು ನಿಯಂತ್ರಿಸುತ್ತದೆ.
info_u_provide,ಬಳಕೆದಾರರು ಒದಗಿಸಿದ ಮಾಹಿತಿ
no_pass_per,ನಾವು ಮೂರನೇ ವ್ಯಕ್ತಿಗಳಿಗೆ ವೈಯಕ್ತಿಕ ಡೇಟಾವನ್ನು ರವಾನಿಸುವುದಿಲ್ಲ. ನೀವು ನಮಗೆ ಇಮೇಲ್ ಮಾಡಿದಾಗ, ನಿಮ್ಮ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ನಾವು ಹೊಂದಿದ್ದೇವೆ, ಆದರೆ ನಮ್ಮ ಅಪ್ಲಿಕೇಶನ್‌ಗಳೊಂದಿಗೆ ನಿಮಗೆ ಸಹಾಯ ಮಾಡಲು ಮಾತ್ರ ನಾವು ಅದನ್ನು ಬಳಸುತ್ತೇವೆ.
info_auto_coll,ಮಾಹಿತಿಯನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
exp_admob_use,ಜಾಹೀರಾತುಗಳನ್ನು ನೀಡಲು ನಾವು Google AdMob ಅನ್ನು ಬಳಸುತ್ತೇವೆ. ಈ ಸೇವೆಗಳ ಬಳಕೆಯು https://www.google.com/policies/privacy/ ನಲ್ಲಿ Google ಡೇಟಾ ರಕ್ಷಣೆ ನಿಬಂಧನೆಗಳಿಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ.
we_real_time,ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕರು ಸಾಧನದಿಂದ ನಿಖರವಾದ ನೈಜ-ಸಮಯದ ಸ್ಥಳ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತಾರೆಯೇ?
exp_loc_perm_man,ಬ್ಯಾಟರಿ ಮ್ಯಾಂಗರ್ ಸ್ಥಳವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆಯೇ ಅಥವಾ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆಯೇ ಎಂಬುದನ್ನು ಮಾತ್ರ ಪರಿಶೀಲಿಸುತ್ತದೆ, ಆದರೆ ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಾಧನದ ಸ್ಥಳದ ಕುರಿತು ಯಾವುದೇ ನಿಖರವಾದ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುವುದಿಲ್ಲ. ಅಂತಹ ಸ್ಥಳ-ಆಧಾರಿತ ಕಾರ್ಯಗಳನ್ನು ಪೂರ್ವನಿಯೋಜಿತವಾಗಿ ಹೊಂದಿಸಲಾಗಿದೆ. ನಿಮ್ಮ ಸಂಬಂಧಿತ ಸಾಧನದ ಸೆಟ್ಟಿಂಗ್‌ಗಳಲ್ಲಿ ನೀವು ಈ ಕಾರ್ಯಗಳನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಬಹುದು ಅಥವಾ ಮರುಸಕ್ರಿಯಗೊಳಿಸಬಹುದು. ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಸ್ಥಾಪಿಸುವ ಮೊದಲು ಅಥವಾ ನಂತರ, ನೀವು ಈ ಕಾರ್ಯಗಳನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲು ಅಥವಾ ಸಕ್ರಿಯಗೊಳಿಸಲು ಬಯಸುತ್ತೀರಾ ಎಂದು - ಸಾಧನವನ್ನು ಅವಲಂಬಿಸಿ - ನಿಮ್ಮನ್ನು ಕೇಳಲಾಗುತ್ತದೆ. ನೀವು ಅಂತಹ ಸ್ಥಳ ಸೇವೆಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿದರೆ ಮಾತ್ರ ನಾವು ನಿಮ್ಮ ಸ್ಥಳದ ಕುರಿತು ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸಬಹುದು.
chng,ಬದಲಾವಣೆಗಳನ್ನು
pri_update_exp,ಈ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಯಾವುದೇ ಕಾರಣಕ್ಕಾಗಿ ಕಾಲಕಾಲಕ್ಕೆ ನವೀಕರಿಸಬಹುದು. ಈ ವೆಬ್ ವಿಳಾಸದಲ್ಲಿ ಹೊಸ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಪೋಸ್ಟ್ ಮಾಡುವ ಮೂಲಕ ಮತ್ತು ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಸಂದೇಶದ ಮೂಲಕ ನಿಮಗೆ ತಿಳಿಸುವ ಮೂಲಕ ನಮ್ಮ ಗೌಪ್ಯತಾ ನೀತಿಯ ಬದಲಾವಣೆಗಳನ್ನು ನಾವು ನಿಮಗೆ ತಿಳಿಸುತ್ತೇವೆ. ಬದಲಾವಣೆಗಳಿಗಾಗಿ ನೀವು ನಿಯಮಿತವಾಗಿ ಈ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಸಂಪರ್ಕಿಸಲು ಶಿಫಾರಸು ಮಾಡಲಾಗಿದೆ, ಏಕೆಂದರೆ ನಿರಂತರ ಬಳಕೆಯು ಎಲ್ಲಾ ಬದಲಾವಣೆಗಳ ಅನುಮೋದನೆ ಎಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ. ಈ ವೆಬ್‌ಸೈಟ್‌ನಲ್ಲಿ ನೀವು ಈ ನೀತಿಯ ಇತಿಹಾಸವನ್ನು ಪರಿಶೀಲಿಸಬಹುದು.
contct,ಸಂಪರ್ಕಿಸಿ
any_que,ಅಪ್ಲಿಕೇಶನ್ ಬಳಸುವಾಗ ಡೇಟಾ ರಕ್ಷಣೆಯ ಕುರಿತು ನೀವು ಯಾವುದೇ ಪ್ರಶ್ನೆಗಳನ್ನು ಹೊಂದಿದ್ದರೆ ಅಥವಾ ನಮ್ಮ ಅಭ್ಯಾಸಗಳ ಬಗ್ಗೆ ಪ್ರಶ್ನೆಗಳನ್ನು ಹೊಂದಿದ್ದರೆ, ದಯವಿಟ್ಟು baxolino.de@gmail.com ಗೆ ಇಮೇಲ್ ಕಳುಹಿಸಿ
mem_opti,ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಸ್ಕ್ಯಾನ್ ಮಾಡಲು ಮತ್ತು ಆಪ್ಟಿಮೈಸ್ ಮಾಡಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕರಿಗೆ "ಮೆಮೊರಿ" ಪ್ರವೇಶದ ಅಗತ್ಯವಿದೆ. ನಿಮ್ಮ ಸಾಧನದ ಸೆಟ್ಟಿಂಗ್‌ಗಳಲ್ಲಿ ನೀವು ಈ ಕಾರ್ಯಗಳನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಬಹುದು ಅಥವಾ ಸಕ್ರಿಯಗೊಳಿಸಬಹುದು. ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಸ್ಥಾಪಿಸುವ ಮೊದಲು ಅಥವಾ ನಂತರ, ನಿಮ್ಮನ್ನು ಕೇಳಲಾಗುತ್ತದೆ - ಸಾಧನವನ್ನು ಅವಲಂಬಿಸಿ - ನೀವು ಈ ಕಾರ್ಯಗಳನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲು ಅಥವಾ ಸಕ್ರಿಯಗೊಳಿಸಲು ಬಯಸುತ್ತೀರಾ ಎಂದು.
storg,ಸಂಗ್ರಹಣೆ
ble_set_acc,blue_set_perm,ಬ್ಲೂಟೂತ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆಯೇ ಅಥವಾ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆಯೇ ಎಂಬುದನ್ನು ಪರಿಶೀಲಿಸಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕರಿಗೆ "ಬ್ಲೂಟೂತ್ ಸೆಟ್ಟಿಂಗ್ ಪ್ರವೇಶ" ಪ್ರವೇಶದ ಅಗತ್ಯವಿದೆ. ಮತ್ತು ಬ್ಲೂಟೂತ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲು ಅಥವಾ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲು.
ble_title,ಬ್ಲೂಟೂತ್
needz_del,ಅಪ್ಲಿಕೇಶನ್‌ನ ಅಸ್ಥಾಪನೆಯನ್ನು ಪ್ರಾರಂಭಿಸಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕರಿಗೆ "ಪ್ಯಾಕೇಜ್‌ಗಳ ಅಳಿಸುವಿಕೆಗೆ ವಿನಂತಿ" ಪ್ರವೇಶದ ಅಗತ್ಯವಿದೆ. ನೀವು ಸ್ಪಷ್ಟವಾಗಿ ಅನುಮತಿಸಿದರೆ ಮಾತ್ರ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಅನ್‌ಇನ್‌ಸ್ಟಾಲ್ ಮಾಡಲಾಗುತ್ತದೆ.
deletion_pkg,ಪ್ಯಾಕೇಜ್‌ಗಳನ್ನು ಅಳಿಸಲು ವಿನಂತಿಸಿ
need_adnd,ಅಡಚಣೆ ಮಾಡಬೇಡಿ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲು ಅಥವಾ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕರಿಗೆ "ಡೋಂಟ್ ಡಿಸ್ಟರ್ಬ್" ಪ್ರವೇಶದ ಅಗತ್ಯವಿದೆ.
adnd,ಅಡಚಣೆ ಮಾಡಬೇಡಿ ಪ್ರವೇಶ
