title,பேட்டரி மேலாளர் லைட் வேறுபட்டது
ble_set_acc,blue_set_perm,பேட்டரி மேலாளருக்கு "புளூடூத் அமைவு அணுகல்" அணுகல் தேவை, இதனால் புளூடூத் செயல்படுத்தப்பட்டதா அல்லது செயலிழக்கப்பட்டுள்ளதா என்பதைச் சரிபார்க்க முடியும். புளூடூத்தை இயக்க அல்லது செயலிழக்கச் செய்ய.
ble_title,புளூடூத்
needz_del,ஆப்ஸின் நிறுவல் நீக்கத்தைத் தொடங்க, பேட்டரி நிர்வாகிக்கு "தொகுப்புகளை நீக்கக் கோரிக்கை" அணுகல் தேவை. நீங்கள் வெளிப்படையாக அனுமதித்தால் மட்டுமே பயன்பாடு நிறுவல் நீக்கப்படும்.
deletion_pkg,தொகுப்புகளை நீக்க கோரிக்கை
need_adnd,தொந்தரவு செய்யாத பயன்முறையை இயக்க அல்லது முடக்க பேட்டரி நிர்வாகிக்கு "தொந்தரவு செய்ய வேண்டாம்" அணுகல் தேவை.
adnd,அணுகல் தொந்தரவு செய்யாதே
need_wlan_acc,பேட்டரி மேலாளருக்கு "WLAN இணைப்புகளைப் பெறு" என்பதற்கான அணுகல் தேவை, இதனால் WLAN செயல்படுத்தப்பட்டதா அல்லது செயலிழக்கப்பட்டுள்ளதா என்பதை பேட்டரி மேலாளர் சரிபார்க்க முடியும். மற்றும் WLAN ஐ செயல்படுத்த அல்லது செயலிழக்கச் செய்ய.
wln_conn,WLAN இணைப்புகளைப் பெறுங்கள்
shop_bill_exp,Google Play இன் ஆப் பில்லிங் மூலம் நீங்கள் ஷாப்பிங் செய்யும் போது, ​​நீங்கள் வசிக்கும் நாடு மற்றும் சில சமயங்களில் மாநிலம், நகரம் மற்றும் ஜிப் குறியீட்டை Google எங்களுக்கு வழங்கும், ஆனால் முழு முகவரியைக் கொடுக்காது. வரி மற்றும் கணக்கியல் விதிமுறைகளுக்கு இணங்க இந்தத் தகவலைப் பயன்படுத்துகிறோம்.
pri_date,02/21/2021 நிலவரப்படி
how_to_stop,பயன்பாட்டை நிறுவல் நீக்குவதன் மூலம், பயன்பாட்டின் முழு தகவல் சேகரிப்பையும் நீங்கள் நிறுத்தலாம். உங்கள் மொபைல் சாதனத்தின் ஒரு பகுதியாக அல்லது மொபைல் பயன்பாடுகளுக்கான சந்தை அல்லது நெட்வொர்க் மூலம் கிடைக்கும் நிலையான நிறுவல் நீக்குதல் செயல்முறைகளைப் பயன்படுத்தலாம்.
opt_out,எனது விலகல் உரிமைகள் என்ன?
ur_permission,உங்கள் அனுமதி
accept_privacy,பயன்பாட்டைப் பயன்படுத்துவதன் மூலம், இந்தத் தனியுரிமைக் கொள்கையில் குறிப்பிடப்பட்டுள்ள மற்றும் எங்களால் திருத்தப்பட்டபடி உங்கள் தரவைச் செயலாக்குவதற்கு நீங்கள் ஒப்புக்கொள்கிறீர்கள்.
