title,Battery Manager Lite គឺខុសគ្នា
pri_update_exp,គោលការណ៍ឯកជនភាពនេះអាចត្រូវបានធ្វើបច្ចុប្បន្នភាពពីពេលមួយទៅពេលមួយសម្រាប់ហេតុផលណាមួយ។ យើងនឹងជូនដំណឹងដល់អ្នកអំពីការផ្លាស់ប្តូរចំពោះគោលការណ៍ឯកជនភាពរបស់យើងដោយការបង្ហោះគោលការណ៍ឯកជនភាពថ្មីនៅលើអាសយដ្ឋានគេហទំព័រនេះ និងជូនដំណឹងដល់អ្នកតាមរយៈសារនៅក្នុងកម្មវិធី។ វាត្រូវបានណែនាំឱ្យអ្នកពិគ្រោះជាមួយគោលការណ៍ឯកជនភាពនេះជាទៀងទាត់សម្រាប់ការផ្លាស់ប្តូរ ដោយសារការប្រើប្រាស់បន្តត្រូវបានចាត់ទុកថាជាការយល់ព្រមលើការផ្លាស់ប្តូរទាំងអស់។ អ្នកអាចពិនិត្យមើលប្រវត្តិនៃគោលការណ៍នេះនៅលើគេហទំព័រនេះ។
contct,ទំនាក់ទំនង
any_que,ប្រសិនបើអ្នកមានសំណួរអំពីការការពារទិន្នន័យនៅពេលប្រើកម្មវិធី ឬមានសំណួរអំពីការអនុវត្តរបស់យើង សូមផ្ញើអ៊ីមែលទៅ baxolino.de@gmail.com
mem_opti,កម្មវិធីគ្រប់គ្រងថ្មត្រូវការសិទ្ធិចូលប្រើ "អង្គចងចាំ" ដូច្នេះកម្មវិធីអាចត្រូវបានស្កេន និងធ្វើឱ្យប្រសើរ។ អ្នកអាចអសកម្ម ឬដំណើរការមុខងារទាំងនេះនៅក្នុងការកំណត់នៃឧបករណ៍រៀងៗខ្លួនរបស់អ្នក។ មុន ឬក្រោយពេលដំឡើងកម្មវិធី អ្នកនឹងត្រូវបានសួរ - អាស្រ័យលើឧបករណ៍ - ថាតើអ្នកចង់បិទដំណើរការ ឬធ្វើឱ្យមុខងារទាំងនេះសកម្មឬអត់។
storg,ការផ្ទុក
ble_set_acc,blue_set_perm, កម្មវិធីគ្រប់គ្រងថ្មទាមទារការចូលប្រើ "ការចូលប្រើការកំណត់ប៊្លូធូស" ដូច្នេះវាអាចត្រូវបានពិនិត្យថាតើប៊្លូធូសត្រូវបានធ្វើឱ្យសកម្មឬអសកម្ម។ និងដើម្បីបើក ឬបិទប៊្លូធូស។
ble_title,ប៊្លូធូស
needz_del,កម្មវិធីគ្រប់គ្រងថ្មទាមទារសិទ្ធិចូលប្រើ "ស្នើសុំការលុបកញ្ចប់" ដើម្បីចាប់ផ្តើមការលុបកម្មវិធី។ កម្មវិធីនឹងត្រូវបានលុបចេញ ប្រសិនបើអ្នកអនុញ្ញាតយ៉ាងច្បាស់។
deletion_pkg,ស្នើសុំលុបកញ្ចប់
need_adnd,កម្មវិធីគ្រប់គ្រងថ្មទាមទារសិទ្ធិចូលប្រើ "កុំរំខាន" ដើម្បីបើក ឬបិទមុខងារកុំរំខាន។
adnd,ចូលប្រើកុំរំខាន
need_wlan_acc,កម្មវិធីគ្រប់គ្រងថ្មតម្រូវឱ្យចូលប្រើ "Get WLAN Connections" ដូច្នេះកម្មវិធីគ្រប់គ្រងថ្មអាចពិនិត្យមើលថាតើ WLAN ត្រូវបានធ្វើឱ្យសកម្ម ឬបិទដំណើរការ។ និងដើម្បីធ្វើឱ្យសកម្មឬអសកម្ម WLAN ។
wln_conn,ទទួលបានការតភ្ជាប់ WLAN
shop_bill_exp,នៅពេលអ្នកទិញទំនិញតាមរយៈ Google Play ក្នុងការចេញវិក្កយបត្រកម្មវិធី Google ផ្តល់ឱ្យយើងនូវប្រទេសដែលអ្នករស់នៅ ហើយជួនកាលរដ្ឋ ទីក្រុង និងលេខកូដតំបន់ ប៉ុន្តែមិនដែលមានអាសយដ្ឋានពេញលេញទេ។ យើងប្រើប្រាស់ព័ត៌មាននេះដើម្បីអនុលោមតាមច្បាប់ពន្ធ និងគណនេយ្យ។
pri_date,គិតត្រឹមថ្ងៃទី 02/21/2021
how_to_stop,អ្នកអាចបញ្ឈប់ការប្រមូលព័ត៌មានទាំងមូលដោយកម្មវិធីដោយគ្រាន់តែលុបកម្មវិធី។ អ្នកអាចប្រើដំណើរការលុបស្តង់ដារដែលមានជាផ្នែកនៃឧបករណ៍ចល័តរបស់អ្នក ឬតាមរយៈទីផ្សារ ឬបណ្តាញសម្រាប់កម្មវិធីទូរស័ព្ទ។
opt_out,តើសិទ្ធិដកខ្លួនរបស់ខ្ញុំមានអ្វីខ្លះ?
ur_permission,ការអនុញ្ញាតរបស់អ្នក។
accept_privacy,ដោយប្រើកម្មវិធី អ្នកយល់ព្រមចំពោះដំណើរការទិន្នន័យរបស់អ្នកដូចមានចែងក្នុងគោលការណ៍ឯកជនភាពនេះ និងដែលត្រូវបានកែប្រែដោយពួកយើង។
