title,باتارېيە باشقۇرغۇچى Lite ئوخشىمايدۇ
contct,ئالاقىلىشىڭ
any_que,قوللىنىشچان پروگراممىنى ئىشلەتكەندە سانلىق مەلۇماتنى قوغداشقا ئائىت سوئاللىرىڭىز بولسا ياكى بىزنىڭ ئەمەلىيىتىمىز ھەققىدە سوئالىڭىز بولسا baxolino.de@gmail.com غا تور خەت ئەۋەتىڭ.
mem_opti,باتارېيە باشقۇرغۇچى «ئىچكى ساقلىغۇچ» زىيارەت قىلىشىغا موھتاج ، بۇنداق بولغاندا ئەپلەرنى سايىلەپ ئەلالاشتۇرغىلى بولىدۇ. بۇ ئىقتىدارلارنى ئۈسكۈنىڭىزنىڭ تەڭشىكىدە توختىتالايسىز ياكى قوزغىتالايسىز. بۇ دېتالنى قاچىلاشتىن ئىلگىرى ياكى كېيىن ، ئۈسكۈنىگە ئاساسەن سىز بۇ ئىقتىدارلارنى توختىتىۋېتىشنى ياكى قوزغىتىشنى خالامسىز دەپ سورايدۇ.
storg,ساقلاش
ble_set_acc,blue_set_perm ، باتارېيە باشقۇرغۇچى «كۆكچىش تەڭشىكى زىيارەت قىلىش» نى تەلەپ قىلىدۇ ، بۇنداق بولغاندا كۆك چىش قوزغىتىلغان ياكى توختىتىلمىغانلىقىنى تەكشۈرگىلى بولىدۇ. كۆكچىشنى قوزغىتىش ياكى توختىتىش.
ble_title,كۆك چىش
needz_del,باتارېيە باشقۇرغۇچى بىر دېتالنى ئۆچۈرۈۋېتىشنى باشلاش ئۈچۈن «بوغچىلارنى ئۆچۈرۈۋېتىشنى تەلەپ قىلىش» نى تەلەپ قىلىدۇ. ئېنىق يول قويسىڭىزلا بۇ دېتال ئۆچۈرۈلىدۇ.
deletion_pkg,بوغچىلارنى ئۆچۈرۈۋېتىشنى تەلەپ قىلىڭ
need_adnd,باتارېيە باشقۇرغۇچى «قالايمىقانچىلىق قىلماڭ» ھالىتىنى قوزغىتىش ياكى چەكلەش ئۈچۈن «قالايمىقانچىلىق قىلماسلىق» نى تەلەپ قىلىدۇ.
adnd,زىيارەت قىلماڭ
need_wlan_acc,باتارېيە باشقۇرغۇچى «WLAN ئۇلىنىشىغا ئېرىشىش» نى تەلەپ قىلىدۇ ، بۇنداق بولغاندا باتارېيە باشقۇرغۇچى WLAN نىڭ قوزغىتىلغان ياكى قوزغىتىلمىغانلىقىنى تەكشۈرەلەيدۇ. ھەمدە WLAN نى قوزغىتىش ياكى توختىتىش.
wln_conn,WLAN ئۇلىنىشىغا ئېرىشىڭ
shop_bill_exp,Google Play In App Billing ئارقىلىق مال سېتىۋالغاندا ، گۇگۇل بىزگە تۇرۇشلۇق دۆلىتىڭىزنى ، بەزىدە شىتات ، شەھەر ۋە پوچتا نومۇرىنى بېرىدۇ ، ئەمما ھەرگىزمۇ تولۇق ئادرېسنى بەرمەيدۇ. بىز بۇ ئۇچۇرلارنى باج ۋە بوغالتىرلىق بەلگىلىمىلىرىگە ئەمەل قىلىمىز.
pri_date,21/21/2021
how_to_stop,سىز پروگراممىنى ئۆچۈرۈۋەتسىڭىزلا ، پروگرامما ئارقىلىق بارلىق ئۇچۇر توپلاشنى توختىتالايسىز. كۆچمە ئۈسكۈنىڭىزنىڭ بىر قىسمى ياكى بازار ياكى تور ئارقىلىق كۆچمە قوللىنىشچان پروگراممىلارنىڭ ئۆلچەملىك ئۆچۈرۈش جەريانىنى ئىشلىتەلەيسىز.
opt_out,مېنىڭ تاللاش ھوقۇقىم نېمە؟
ur_permission,رۇخسىتىڭىز
accept_privacy,بۇ پروگراممىنى ئىشلىتىش ئارقىلىق ، بۇ مەخپىيەتلىك تۈزۈمىدە ۋە بىز تۈزىتىش كىرگۈزگەن سانلىق مەلۇماتلىرىڭىزنى بىر تەرەپ قىلىشىمىزغا قوشۇلىسىز.
