title,ബാറ്ററി മാനേജർ ലൈറ്റ് വ്യത്യസ്തമാണ്
each_month,സബ്‌സ്‌ക്രിപ്‌ഷൻ ഓരോ മാസവും സ്വയമേവ പുതുക്കുകയും പ്രതിമാസം ചെലവ് തുടരുകയും ചെയ്യുന്നു. സബ്‌സ്‌ക്രിപ്‌ഷൻ എപ്പോൾ വേണമെങ്കിലും റദ്ദാക്കാം.
mng_subs,സബ്സ്ക്രിപ്ഷൻ നിയന്ത്രിക്കുക
subsci,സബ്സ്ക്രൈബ് ചെയ്യുക
will_cost_week,സബ്‌സ്‌ക്രിപ്‌ഷൻ ഓരോ ആഴ്‌ചയും സ്വയമേവ പുതുക്കുകയും ആഴ്‌ചയിലെ നിരക്ക് തുടരുകയും ചെയ്യുന്നു. സബ്‌സ്‌ക്രിപ്‌ഷൻ എപ്പോൾ വേണമെങ്കിലും റദ്ദാക്കാം.
lfllong,ആജീവനാന്തം
mthly,പ്രതിമാസ
wkly,പ്രതിവാരം
hoto,ചൂടുള്ള
prm_ben_title,പ്രീമിയം ആനുകൂല്യങ്ങൾ
sync_title,സമന്വയിപ്പിക്കുക
dis_sync_inc,സമന്വയം പ്രവർത്തനരഹിതമാക്കുന്നത് പശ്ചാത്തലത്തിൽ സേവനങ്ങൾ സമന്വയിപ്പിക്കാതെ ബാറ്ററി ലൈഫ് വർദ്ധിപ്പിക്കും
time_out,ടൈം ഔട്ട്
dec_extend,ഡിസ്പ്ലേ ഓഫാക്കുന്നതിന് മുമ്പുള്ള സമയം കുറയ്ക്കുന്നത് ബാറ്ററിയുടെ ആയുസ്സ് വർദ്ധിപ്പിക്കുന്നു
u_end_opti,ഒപ്റ്റിമൈസേഷൻ പ്രക്രിയ അവസാനിപ്പിക്കണമെന്ന് തീർച്ചയാണോ?
no_why_perm,അനുമതിയില്ല
bright_exp,സ്‌ക്രീൻ തെളിച്ചം കുറയ്ക്കുന്നതിനോ ബ്ലൂടൂത്ത് ഓഫാക്കുന്നതിനോ സിസ്റ്റം ക്രമീകരണങ്ങൾ മാറ്റാൻ ബാറ്ററി മാനേജറിന് അനുമതി ആവശ്യമാണ്.
tg_title,ടെലിഗ്രാം ചാനലിൽ ചേരൂ!
tg_text,ആപ്പ് അപ്‌ഡേറ്റുകൾക്കൊപ്പം തുടരുക, നേരത്തെയുള്ള ബിൽഡുകൾ നേടുക, പുതിയ ഫീച്ചറുകൾ പരീക്ഷിക്കാൻ സഹായിക്കുക. നിങ്ങളുടെ ആശയങ്ങൾ നിർദ്ദേശിക്കുക, ചോദ്യങ്ങൾ ചോദിക്കുക, ഉത്തരങ്ങൾ വേഗത്തിൽ നേടുക
join_tg,ചേരുക
curr_consumption,നിലവിലെ ഉപഭോഗം
scrn_onn,സ്ക്രീൻ ഓണാണ്
srcn_off,സ്ക്രീൻ ഓഫ്
mob_charg,ചാർജിംഗ്
discha,ഡിസ്ചാർജ് ചെയ്യുന്നു
activea,സജീവമാണ്
slpmode,സ്ലീപ്പ് മോഡ്
chagingspeed,നിലവിലെ ചാർജിംഗ് വേഗത
dta_proxt,ഡാറ്റ പരിരക്ഷ
governs,Baxolino സൃഷ്ടിച്ച മൊബൈൽ ഉപകരണങ്ങൾക്കായുള്ള ബാറ്ററി മാനേജർ സോഫ്റ്റ്‌വെയർ ആപ്ലിക്കേഷന്റെ നിങ്ങളുടെ ഉപയോഗത്തെ ഈ സ്വകാര്യതാ നയം നിയന്ത്രിക്കുന്നു.
info_u_provide,ഉപയോക്താവ് നൽകിയ വിവരങ്ങൾ
no_pass_per,ഞങ്ങൾ വ്യക്തിഗത ഡാറ്റ മൂന്നാം കക്ഷികൾക്ക് കൈമാറില്ല. നിങ്ങൾ ഞങ്ങൾക്ക് ഇമെയിൽ ചെയ്യുമ്പോൾ, നിങ്ങളുടെ ഇമെയിൽ വിലാസം ഞങ്ങളുടെ പക്കലുണ്ട്, എന്നാൽ ഞങ്ങളുടെ ആപ്പുകളിൽ നിങ്ങളെ സഹായിക്കാൻ മാത്രമാണ് ഞങ്ങൾ അത് ഉപയോഗിക്കുന്നത്.
info_auto_coll,വിവരങ്ങൾ സ്വയമേവ ശേഖരിക്കുന്നു
exp_admob_use,പരസ്യങ്ങൾ നൽകുന്നതിന് ഞങ്ങൾ Google AdMob ഉപയോഗിക്കുന്നു. ഈ സേവനങ്ങളുടെ ഉപയോഗം https://www.google.com/policies/privacy/ എന്നതിലെ Google ഡാറ്റ സംരക്ഷണ വ്യവസ്ഥകൾക്ക് വിധേയമാണ്.
we_real_time,ബാറ്ററി മാനേജർ ഉപകരണത്തിൽ നിന്ന് കൃത്യമായ തത്സമയ ലൊക്കേഷൻ വിവരങ്ങൾ ശേഖരിക്കുന്നുണ്ടോ?
exp_loc_perm_man,ലൊക്കേഷൻ സജീവമാക്കിയോ നിർജ്ജീവമാക്കിയോ എന്ന് മാത്രമേ ബാറ്ററി മാനേജർ പരിശോധിക്കൂ, എന്നാൽ നിങ്ങളുടെ മൊബൈൽ ഉപകരണത്തിന്റെ ലൊക്കേഷനെക്കുറിച്ചുള്ള കൃത്യമായ വിവരങ്ങളൊന്നും ശേഖരിക്കുന്നില്ല. അത്തരം ലൊക്കേഷൻ അടിസ്ഥാനമാക്കിയുള്ള ഫംഗ്‌ഷനുകൾ സ്ഥിരസ്ഥിതിയായി സജ്ജീകരിച്ചിരിക്കുന്നു. നിങ്ങളുടെ ബന്ധപ്പെട്ട ഉപകരണത്തിന്റെ ക്രമീകരണങ്ങളിൽ നിങ്ങൾക്ക് ഈ ഫംഗ്‌ഷനുകൾ നിർജ്ജീവമാക്കാനോ വീണ്ടും സജീവമാക്കാനോ കഴിയും. ആപ്പുകൾ ഇൻസ്‌റ്റാൾ ചെയ്യുന്നതിന് മുമ്പോ ശേഷമോ, ഈ ഫംഗ്‌ഷനുകൾ നിർജ്ജീവമാക്കണോ സജീവമാക്കണോ എന്ന് - ഉപകരണത്തെ ആശ്രയിച്ച് നിങ്ങളോട് ചോദിക്കും. അത്തരം ലൊക്കേഷൻ സേവനങ്ങൾ നിങ്ങൾ സജീവമാക്കിയാൽ മാത്രമേ ഞങ്ങൾക്ക് നിങ്ങളുടെ ലൊക്കേഷനെക്കുറിച്ചുള്ള ഡാറ്റ ശേഖരിക്കാനാകൂ.
chng,മാറ്റങ്ങൾ
pri_update_exp,ഈ സ്വകാര്യതാ നയം ഏതെങ്കിലും കാരണത്താൽ കാലാകാലങ്ങളിൽ അപ്ഡേറ്റ് ചെയ്തേക്കാം. ഈ വെബ് വിലാസത്തിൽ പുതിയ സ്വകാര്യതാ നയം പോസ്‌റ്റ് ചെയ്‌ത് ആപ്പിലെ ഒരു സന്ദേശം വഴി നിങ്ങളെ അറിയിക്കുന്നതിലൂടെ ഞങ്ങളുടെ സ്വകാര്യതാ നയത്തിലെ മാറ്റങ്ങൾ ഞങ്ങൾ നിങ്ങളെ അറിയിക്കും. മാറ്റങ്ങൾക്കായി ഈ സ്വകാര്യതാ നയം പതിവായി പരിശോധിക്കാൻ ശുപാർശ ചെയ്യുന്നു, കാരണം തുടർച്ചയായ ഉപയോഗം എല്ലാ മാറ്റങ്ങളുടെയും അംഗീകാരമായി കണക്കാക്കപ്പെടുന്നു. ഈ വെബ്സൈറ്റിൽ നിങ്ങൾക്ക് ഈ നയത്തിന്റെ ചരിത്രം അവലോകനം ചെയ്യാം.
contct,ബന്ധപ്പെടുക
any_que,ആപ്ലിക്കേഷൻ ഉപയോഗിക്കുമ്പോൾ ഡാറ്റ പരിരക്ഷയെക്കുറിച്ച് നിങ്ങൾക്ക് എന്തെങ്കിലും ചോദ്യങ്ങളുണ്ടെങ്കിൽ അല്ലെങ്കിൽ ഞങ്ങളുടെ പ്രവർത്തനങ്ങളെക്കുറിച്ച് ചോദ്യങ്ങളുണ്ടെങ്കിൽ, ദയവായി baxolino.de@gmail.com എന്ന വിലാസത്തിലേക്ക് ഒരു ഇമെയിൽ അയയ്ക്കുക.
mem_opti,ആപ്പുകൾ സ്കാൻ ചെയ്യാനും ഒപ്റ്റിമൈസ് ചെയ്യാനും ബാറ്ററി മാനേജർക്ക് "മെമ്മറി" ആക്സസ് ആവശ്യമാണ്. നിങ്ങളുടെ ബന്ധപ്പെട്ട ഉപകരണത്തിന്റെ ക്രമീകരണങ്ങളിൽ നിങ്ങൾക്ക് ഈ ഫംഗ്‌ഷനുകൾ നിർജ്ജീവമാക്കാനോ സജീവമാക്കാനോ കഴിയും. ആപ്പ് ഇൻസ്‌റ്റാൾ ചെയ്യുന്നതിന് മുമ്പോ ശേഷമോ, ഈ ഫംഗ്‌ഷനുകൾ നിർജ്ജീവമാക്കണോ സജീവമാക്കണോ എന്ന് - ഉപകരണത്തെ ആശ്രയിച്ച് - നിങ്ങളോട് ചോദിക്കും.
storg,സംഭരണം
ble_set_acc,blue_set_perm,Battery Manager ന് "Bluetooth സെറ്റിംഗ് ആക്‌സസ്" ആക്‌സസ് ആവശ്യമാണ്, അതുവഴി ബ്ലൂടൂത്ത് സജീവമാക്കിയോ നിർജ്ജീവമാക്കിയോ എന്ന് പരിശോധിക്കാനാകും. ബ്ലൂടൂത്ത് സജീവമാക്കാനോ നിർജ്ജീവമാക്കാനോ.
ble_title,ബ്ലൂടൂത്ത്
needz_del,ഒരു ആപ്പിന്റെ അൺഇൻസ്റ്റാളേഷൻ ആരംഭിക്കാൻ ബാറ്ററി മാനേജർക്ക് "പാക്കേജുകൾ ഇല്ലാതാക്കാൻ അഭ്യർത്ഥിക്കുക" എന്ന ആക്‌സസ് ആവശ്യമാണ്. നിങ്ങൾ അത് വ്യക്തമായി അനുവദിച്ചാൽ മാത്രമേ ആപ്പ് അൺഇൻസ്റ്റാൾ ചെയ്യുകയുള്ളൂ.
deletion_pkg,പാക്കേജുകൾ ഇല്ലാതാക്കാൻ അഭ്യർത്ഥിക്കുക
need_adnd,"ശല്യപ്പെടുത്തരുത്" മോഡ് പ്രവർത്തനക്ഷമമാക്കാനോ പ്രവർത്തനരഹിതമാക്കാനോ ബാറ്ററി മാനേജറിന് "ശല്യപ്പെടുത്തരുത്" ആക്‌സസ് ആവശ്യമാണ്.
adnd,തടസ്സപ്പെടുത്തരുത് ആക്സസ്
need_wlan_acc,ബാറ്ററി മാനേജർക്ക് "WLAN കണക്ഷനുകൾ നേടുക" എന്നതിലേക്ക് ആക്‌സസ് ആവശ്യമാണ്, അതുവഴി WLAN സജീവമാക്കിയോ നിർജ്ജീവമാക്കിയോ എന്ന് ബാറ്ററി മാനേജർക്ക് പരിശോധിക്കാനാകും. ഒപ്പം WLAN സജീവമാക്കാനോ നിർജ്ജീവമാക്കാനോ.
wln_conn,WLAN കണക്ഷനുകൾ നേടുക
shop_bill_exp,നിങ്ങൾ Google Play ഇൻ ആപ്പ് ബില്ലിംഗിലൂടെ ഷോപ്പുചെയ്യുമ്പോൾ, Google ഞങ്ങൾക്ക് നിങ്ങളുടെ താമസ രാജ്യവും ചിലപ്പോൾ സംസ്ഥാനവും നഗരവും പിൻ കോഡും നൽകുന്നു, എന്നാൽ ഒരിക്കലും പൂർണ്ണ വിലാസം നൽകില്ല. നികുതി, അക്കൌണ്ടിംഗ് നിയന്ത്രണങ്ങൾ പാലിക്കാൻ ഞങ്ങൾ ഈ വിവരങ്ങൾ ഉപയോഗിക്കുന്നു.
pri_date,02/21/2021 വരെ
how_to_stop,ആപ്ലിക്കേഷൻ അൺഇൻസ്റ്റാൾ ചെയ്യുന്നതിലൂടെ ആപ്ലിക്കേഷൻ വഴിയുള്ള മുഴുവൻ വിവരശേഖരണവും നിങ്ങൾക്ക് നിർത്താനാകും. നിങ്ങളുടെ മൊബൈൽ ഉപകരണത്തിന്റെ ഭാഗമായി അല്ലെങ്കിൽ മൊബൈൽ ആപ്ലിക്കേഷനുകൾക്കായി മാർക്കറ്റ് പ്ലേസ് അല്ലെങ്കിൽ നെറ്റ്‌വർക്ക് വഴി ലഭ്യമായ സ്റ്റാൻഡേർഡ് അൺഇൻസ്റ്റാൾ പ്രക്രിയകൾ നിങ്ങൾക്ക് ഉപയോഗിക്കാം.
opt_out,എന്റെ ഒഴിവാക്കൽ അവകാശങ്ങൾ എന്തൊക്കെയാണ്?
ur_permission,നിങ്ങളുടെ അനുമതി
accept_privacy,ആപ്ലിക്കേഷൻ ഉപയോഗിക്കുന്നതിലൂടെ, ഈ സ്വകാര്യതാ നയത്തിൽ പറഞ്ഞിരിക്കുന്നതും ഞങ്ങൾ ഭേദഗതി ചെയ്തതുമായ നിങ്ങളുടെ ഡാറ്റ പ്രോസസ്സ് ചെയ്യുന്നതിന് നിങ്ങൾ സമ്മതം നൽകുന്നു.
